 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,041172025_PRAS_DF4x_10x_Q4.jpg (red),7,120.214,0.929,0.943,1.936,0.517,0.933
2,041172025_PRAS_DF4x_10x_Q4.jpg (red),5,188.100,0.700,0.764,2.188,0.457,0.769
3,041172025_PRAS_DF4x_10x_Q4.jpg (red),5,667.500,0.500,0.599,5.000,0.200,1.000
4,041172025_PRAS_DF4x_10x_Q4.jpg (red),116,689.888,3.724,0.533,2.116,0.473,0.829
5,041172025_PRAS_DF4x_10x_Q4.jpg (red),14,773.714,1.286,0.911,1.851,0.540,0.903
6,041172025_PRAS_DF4x_10x_Q4.jpg (red),16,1234.500,1.125,0.628,2.759,0.362,0.842
7,041172025_PRAS_DF4x_10x_Q4.jpg (red),8,1630.000,0.750,0.588,2.935,0.341,0.800
8,041172025_PRAS_DF4x_10x_Q4.jpg (red),63,1711.722,4.405,0.943,1.232,0.812,0.906
9,041172025_PRAS_DF4x_10x_Q4.jpg (red),38,1932.000,2.263,0.819,1.739,0.575,0.905
10,041172025_PRAS_DF4x_10x_Q4.jpg (red),71,86.599,4.979,0.896,1.146,0.873,0.916
11,041172025_PRAS_DF4x_10x_Q4.jpg (red),28,365.286,3.750,0.702,1.418,0.705,0.767
12,041172025_PRAS_DF4x_10x_Q4.jpg (red),39,1940.962,4.038,0.949,1.264,0.791,0.907
13,041172025_PRAS_DF4x_10x_Q4.jpg (red),70,517.829,6.171,0.953,1.140,0.877,0.909
14,041172025_PRAS_DF4x_10x_Q4.jpg (red),57,151.219,8.430,0.889,1.154,0.866,0.898
15,041172025_PRAS_DF4x_10x_Q4.jpg (red),111,1917.221,11.266,0.923,1.144,0.874,0.917
16,041172025_PRAS_DF4x_10x_Q4.jpg (red),72,2091.389,16.069,0.863,1.595,0.627,0.911
17,041172025_PRAS_DF4x_10x_Q4.jpg (red),14,872.500,12.786,0.993,1.388,0.720,0.824
